business_id,prob_repay,credit_score,risk_category,decision_summary
SME-048,0.29883348595848597,29,High Risk,"This business has a High Risk score due to unstable cash flow, high burn rate, inefficient ad spend."
SME-049,0.8059123151357778,80,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-050,0.34542942397959064,34,High Risk,"This business has a High Risk score due to high burn rate, inefficient ad spend."
SME-051,0.6943598341119064,69,Medium Risk,"This business has a Medium Risk score due to unstable cash flow, high burn rate, low market presence."
SME-052,0.773869623216406,77,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-053,0.7564378050345877,75,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-054,0.6105180694300052,61,Medium Risk,"This business has a Medium Risk score due to high burn rate, low market presence."
SME-055,0.8029249767400596,80,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-056,0.3636894012309473,36,High Risk,This business has a High Risk score due to unstable cash flow.
SME-057,0.7361704437137006,73,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-058,0.322710661990598,32,High Risk,"This business has a High Risk score due to high burn rate, low market presence."
SME-059,0.404935549690833,40,High Risk,"This business has a High Risk score due to low profitability, high burn rate, inefficient ad spend."
SME-060,0.7370300269365109,73,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-061,0.728346418706578,72,Low Risk,This business shows consistent performance across all metrics.
SME-062,0.5517323748662758,55,Medium Risk,"This business has a Medium Risk score due to low profitability, inefficient ad spend."
SME-063,0.8968359739217862,89,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-064,0.43345859046155183,43,High Risk,"This business has a High Risk score due to low profitability, high burn rate, low market presence."
SME-065,0.8965821994845894,89,Low Risk,This business has a Low Risk score driven by efficient marketing.
SME-066,0.38290022021527775,38,High Risk,This business has a High Risk score due to unstable cash flow.
SME-067,0.7756179657841389,77,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-068,0.8360564423938027,83,Low Risk,This business has a Low Risk score driven by efficient marketing.
SME-069,0.5651144788050185,56,Medium Risk,"This business has a Medium Risk score due to unstable cash flow, high burn rate, low market presence."
SME-070,0.795257334260736,79,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-071,0.8888618363462555,88,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-072,0.29140142951340897,29,High Risk,"This business has a High Risk score due to high burn rate, low market presence."
SME-073,0.866123947388098,86,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-074,0.8623175726898777,86,Low Risk,This business has a Low Risk score driven by efficient marketing.
SME-075,0.22945833333333332,22,High Risk,"This business has a High Risk score due to low profitability, inefficient ad spend."
SME-076,0.7703152277761132,77,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-077,0.5702561438733225,57,Medium Risk,This business has a Medium Risk score due to low market presence.
SME-078,0.8235386906966974,82,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-079,0.7567404144244034,75,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-080,0.9084809955668078,90,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-081,0.7455249924333248,74,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-082,0.8696742190100314,86,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-083,0.7672559280348965,76,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-084,0.5067361364899248,50,Medium Risk,"This business has a Medium Risk score due to unstable cash flow, low market presence."
SME-085,0.7776731708516269,77,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-086,0.3982997958353994,39,High Risk,This business has a High Risk score due to low profitability.
SME-087,0.7702561317681288,77,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-088,0.6686187031144041,66,Medium Risk,"This business has a Medium Risk score due to high burn rate, inefficient ad spend."
SME-089,0.35980721633886864,35,High Risk,This business has a High Risk score due to low market presence.
SME-090,0.8666108057672928,86,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-091,0.39320735147255115,39,High Risk,"This business has a High Risk score due to low profitability, high burn rate, inefficient ad spend."
SME-092,0.7701055656093487,77,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-093,0.5805815346652328,58,Medium Risk,"This business has a Medium Risk score due to low profitability, inefficient ad spend."
SME-094,0.7764790170327283,77,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-095,0.7936576234542003,79,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-096,0.8005222120329472,80,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-097,0.28014328544262757,28,High Risk,This business is flagged as High Risk due to a combination of moderate risk factors.
SME-098,0.8409530235388357,84,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-099,0.3634536787144137,36,High Risk,"This business has a High Risk score due to unstable cash flow, inefficient ad spend."
SME-100,0.7500186072460744,75,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
